global_index,page,column,visual_note_id,visual_region,is_repeated,repeated_group_id,repeated_occurrences,text_preview,text,label
1,1,,column_2,,no,,1,N.T.S. CALL OKIE BEFORE YOU DIG TWO WORKING DAYS 1-800-522-6543 ALL CONSTRUCTION SHALL BE IN ACCORDANCE WITH THE OKLA...,"N.T.S.
CALL OKIE
BEFORE YOU DIG
TWO WORKING DAYS
1-800-522-6543
ALL CONSTRUCTION SHALL BE IN ACCORDANCE WITH THE OKLAHOMA
DEPARTMENT OF TRANSPORTATION 2019 STANDARD SPECIFICATIONS
FOR HIGHWAY CONSTRUCTION AND SPECIAL PROVISIONS. PROJECT
SPECIFICATIONS GOVERN OVER STANDARD SPECIFICATIONS.",Plan Note
2,1,,column_6,,no,,1,ES2.0 - SHOP SHED FOUNDATION DETAILS EP1.0 - SHOP SHED PLUMBING PLANS WS2.0 - WASH SHED FOUNDATION DETAILS FUEL CANOP...,"ES2.0 - SHOP SHED FOUNDATION DETAILS
EP1.0 - SHOP SHED PLUMBING PLANS
WS2.0 - WASH SHED FOUNDATION DETAILS
FUEL CANOPY
FA2.0 - FUEL CANOPY
FS1.0 - FUEL CANOPY FRAMING PLAN
FS2.0 - FUEL CANOPY DETAILS
ODOT STANDARDS
PCES-5-1 - PREFABRICATED CULVERT END
SECTIONS
SPI-5-2 - STANDARD PIPE INSTALLATION
PBB-1-2 - PIPE BEDDING & BACKFILL
RWF3-3-2 - RIGHT-OF-WAY FENCE STYLE CLF
(CHAINLINK FENCE)
MA6.0 - SECTION DETAILS
Note: These drawings and related design
calculations were performed solely for the
construction of the ODOT District 2 Bryan
County Maintenance Facility in Durant,
Oklahoma.
MA6.1 - SECTION DETAILS
MA7.0 - PLAN DETAILS
MA8.0 - MILLWORK & SCHEDULES
MA9.0 - FIXTURES, EQUIPMENT, & ENLARGED PLANS
MA11.0 - DOORS & WINDOWS
PROJECT
MA11.1 - DOOR & WINDOW DETAILS
MA12.0 - REFLECTED CEILING PLAN
MS1.0 - MAINTENANCE FOUNDATION PLAN
MS2.0 - MAINTENANCE DESIGN CRITERIA & DETAILS
MM1.0 - MAINTENANCE MECHANICAL PLAN
MM2.0 - MAINTENANCE MECHANICAL SCHEDULES
ME0.1 - MAINTENANCE PANEL SCHEDULES
ME1.0 - MAINTENANCE LIGHTING PLAN
ME2.1 - MAINTENANCE POWER PLAN
ME3.1 - MAINTENANCE SYSTEMS PLAN
MP1.0 - MAINTENANCE PLUMBING PLANS
MP1.1 - MAINTENANCE WASTE/VENT PLANS
CEC CORPORATION
WWW.CONNECTCEC.COM
OK CA#: 32  EXP.: 2026-06-30
MP2.0 - MAINTENANCE PLUMBING SCHEDULES
CEC PROJECT #240622",Standards Note
3,1,,sheet_info_1,,no,,1,The layout and design shown is not intended to be utilized at any other site without site adaptation by the Engineer ...,"The layout and design shown is not intended
to be utilized at any other site without site
adaptation by the Engineer and Architectural
firm responsible for its original design.",Legend
4,1,,column_1,,no,,1,SHEET INDEX SHEET INDEX,"SHEET INDEX
SHEET INDEX",Survey Data
5,1,,column_3,,no,,1,C4.1 - GRADING PLAN C6.0 - FUELING PLAN C10.1 - DETAILS C10.6 - FLEXAMAT DETAILS C10.7 - HERBICIDE TANK PAD DETAILS C...,"C4.1 - GRADING PLAN
C6.0 - FUELING PLAN
C10.1 - DETAILS
C10.6 - FLEXAMAT DETAILS
C10.7 - HERBICIDE TANK PAD DETAILS
C10.8 - CORS TOWER DETAILS
GENERAL
S1.0 - STRUCTURAL GENERAL NOTES
S2.0 - STRUCTURAL SPECIAL INSPECTIONS &
ABBREVIATIONS
S3.0 - STRUCTURAL TYPICAL DETAILS
M1.0 - MECHANICAL LEGEND & NOTES
M2.0 - MECHANICAL DETAILS
E1.0 - ELECTRICAL COVER SHEET
E2.0 - ELECTRICAL ONE-LINE DIAGRAM &
SCHEDULES
E3.0 - ELECTRICAL SITE PLAN
E4.0 - ELECTRICAL DETAILS
P1.0 - PLUMBING LEGEND & NOTES
P2.0 - PLUMBING DETAILS
MAINTENANCE BUILDING
MA1.0 - CODE ANALYSIS
MA2.0 - FLOOR PLAN
MA3.0 - ROOF PLAN
MA4.0 - EXTERIOR ELEVATIONS
MA5.0 - BUILDING SECTIONS",Plan Info
6,1,,note_1,,no,,1,EQUIPMENT SHED - SHOP BAY CIVIL,"EQUIPMENT SHED - SHOP BAY
CIVIL",Revision
7,1,,note_12,,no,,1,C0.0 - TITLE SHEET 1 - SURVEY SHEET,"C0.0 - TITLE SHEET
1 - SURVEY SHEET",Unknown
8,1,,note_18,,no,,1,C0.1 - NOTES & LEGEND C2.0 - OVERALL DEMOLITION PLAN C3.0 - OVERALL SITE PLAN,"C0.1 - NOTES & LEGEND
C2.0 - OVERALL DEMOLITION PLAN
C3.0 - OVERALL SITE PLAN",
9,1,,note_24,,no,,1,C3.1 - SITE PLAN C3.2 - SITE PLAN,"C3.1 - SITE PLAN
C3.2 - SITE PLAN",
10,1,,note_30,,no,,1,C3.3 - SITE PLAN C4.0 - OVERALL GRADING PLAN,"C3.3 - SITE PLAN
C4.0 - OVERALL GRADING PLAN",
11,1,,note_36,,no,,1,C4.2 - GRADING PLAN C4.3 - GRADING PLAN,"C4.2 - GRADING PLAN
C4.3 - GRADING PLAN",
12,1,,note_42,,no,,1,C4.4 - GRADING PLAN C4.5 - STORM GRADING PLAN,"C4.4 - GRADING PLAN
C4.5 - STORM GRADING PLAN",
13,1,,note_48,,no,,1,C4.6 - STORM GRADING PLAN C4.7 - ENTRANCE DRIVE GRADING C5.0 - OVERALL UTILITY PLAN,"C4.6 - STORM GRADING PLAN
C4.7 - ENTRANCE DRIVE GRADING
C5.0 - OVERALL UTILITY PLAN",
14,1,,note_54,,no,,1,C5.1 - UTILITY PLAN C5.2 - UTILITY PLAN,"C5.1 - UTILITY PLAN
C5.2 - UTILITY PLAN",
15,1,,note_60,,no,,1,C5.3 - UTILITY PLAN C5.4 - UTILITY PLAN,"C5.3 - UTILITY PLAN
C5.4 - UTILITY PLAN",
16,1,,note_66,,no,,1,C7.0 - SEPTIC DETAILS C8.0 - EVAPORATION POND DETAILS,"C7.0 - SEPTIC DETAILS
C8.0 - EVAPORATION POND DETAILS",
17,1,,note_72,,no,,1,C9.0 - OVERALL EROSION PLAN C10.0 - DETAILS,"C9.0 - OVERALL EROSION PLAN
C10.0 - DETAILS",
18,1,,note_78,,no,,1,C10.2 - DETAILS C10.3 - BRINE TANK PAD DETAILS,"C10.2 - DETAILS
C10.3 - BRINE TANK PAD DETAILS",
19,1,,note_84,,no,,1,C10.4 - FENCE DETAILS C10.5 - UTILITY DETAILS,"C10.4 - FENCE DETAILS
C10.5 - UTILITY DETAILS",
20,1,,note_7,,no,,1,EA1.0 - FLOOR PLAN EA2.0 - ELEVATIONS & SECTIONS,"EA1.0 - FLOOR PLAN
EA2.0 - ELEVATIONS & SECTIONS",
21,1,,note_13,,no,,1,EA3.0 - DETAILS ES1.0 - SHOP SHED FOUNDATION PLAN,"EA3.0 - DETAILS
ES1.0 - SHOP SHED FOUNDATION PLAN",
22,1,,note_19,,no,,1,ES3.0 - SHOP SHED HOIST DETAIL EM1.0 - SHOP SHED MECHANICAL PLAN,"ES3.0 - SHOP SHED HOIST DETAIL
EM1.0 - SHOP SHED MECHANICAL PLAN",
23,1,,note_25,,no,,1,EE1.0 - SHOP SHED LIGHTING PLAN EE2.0 - SHOP SHED POWER & SYSTEMS PLAN,"EE1.0 - SHOP SHED LIGHTING PLAN
EE2.0 - SHOP SHED POWER & SYSTEMS PLAN",
24,1,,note_67,,no,,1,HOPPER RACK HA2.0 - HOPPER RACK,"HOPPER RACK
HA2.0 - HOPPER RACK",
25,1,,note_73,,no,,1,HA2.1 - DETAILS HS1.0 - HOPPER RACK FOUNDATION PLAN,"HA2.1 - DETAILS
HS1.0 - HOPPER RACK FOUNDATION PLAN",
26,1,,note_79,,no,,1,HS2.0 - HOPPER RACK FRAMING PLAN & ELEVATIONS HS3.0 - HOPPER RACK DESIGN CRITERIA & FOUNDATION DETAILS,"HS2.0 - HOPPER RACK FRAMING PLAN & ELEVATIONS
HS3.0 - HOPPER RACK DESIGN CRITERIA &
FOUNDATION DETAILS",
27,1,,note_85,,no,,1,HS4.0 - HOPPER RACK CATWALK DETAILS,HS4.0 - HOPPER RACK CATWALK DETAILS,
28,1,,note_31,,no,,1,EQUIPMENT SHED - WASH BAY,EQUIPMENT SHED - WASH BAY,
29,1,,note_37,,no,,1,WA1.0 - FLOOR PLAN WA2.0 - ELEVATIONS & SECTIONS,"WA1.0 - FLOOR PLAN
WA2.0 - ELEVATIONS & SECTIONS",
30,1,,note_43,,no,,1,WA3.0 - DETAILS WS1.0 - WASH SHED FOUNDATION PLAN,"WA3.0 - DETAILS
WS1.0 - WASH SHED FOUNDATION PLAN",Detail
31,1,,note_49,,no,,1,WS3.0 - WASH SHED CATWALK DETAILS WS3.0 - WASH SHED CATWALK DETAILS,"WS3.0 - WASH SHED CATWALK DETAILS
WS3.0 - WASH SHED CATWALK DETAILS",Detail
32,1,,note_55,,no,,1,WM1.0 - WASH SHED MECHANICAL PLAN WE1.0 - WASH SHED LIGHTING PLAN,"WM1.0 - WASH SHED MECHANICAL PLAN
WE1.0 - WASH SHED LIGHTING PLAN",
33,1,,note_61,,no,,1,WE2.0 - WASH SHED POWER & SYSTEMS PLAN WP1.0 - WASH SHED PLUMBING PLANS,"WE2.0 - WASH SHED POWER & SYSTEMS PLAN
WP1.0 - WASH SHED PLUMBING PLANS",
34,1,,,,no,,1,SITE,SITE,
35,3,,,,no,,1,EROSION CONTROL NOTES: SITE DEMOLITION NOTES: SITE CONSTRUCTION NOTES:,"EROSION CONTROL NOTES:
SITE DEMOLITION NOTES:
SITE CONSTRUCTION NOTES:",
36,3,,,,no,,1,SITE CONSTRUCTION NOTES (CONT'D):,SITE CONSTRUCTION NOTES (CONT'D):,
37,3,,,,no,,1,SITE UTILITY NOTES: SITE DETAIL NOTES:,"SITE UTILITY NOTES:
SITE DETAIL NOTES:",
38,3,,,,no,,10,1,1,
39,3,,,,no,,1,THE CONTRACTOR SHALL MAINTAIN AND REPAIR ANY DAMAGE TO STORM WATER POLLUTION CONTROL DEVICES AS SOON AS PRACTICAL AFT...,"THE CONTRACTOR SHALL MAINTAIN AND REPAIR ANY DAMAGE
TO STORM WATER POLLUTION CONTROL DEVICES AS SOON
AS PRACTICAL AFTER THE DISCOVERY OF THE DAMAGE.",General Note
40,3,,,,no,,10,1,1,
41,3,,,,no,,1,SCOPE OF WORK SHALL INCLUDE REMOVAL OF ALL EXISTING OBJECTS REQUIRED FOR PROJECT CONSTRUCTION.,"SCOPE OF WORK SHALL INCLUDE REMOVAL OF ALL EXISTING
OBJECTS REQUIRED FOR PROJECT CONSTRUCTION.",
42,3,,,,no,,1,REMOVED ITEMS THAT ARE NOT DENOTED FOR SALVAGE SHALL BECOME THE PROPERTY OF THE CONTRACTOR AND BE DISPOSED OF IN AN A...,"REMOVED ITEMS THAT ARE NOT DENOTED FOR SALVAGE
SHALL BECOME THE PROPERTY OF THE CONTRACTOR AND BE
DISPOSED OF IN AN APPROVED MANNER.  UNLESS
OTHERWISE SPECIFIED, ALL EXCAVATION IS UNCLASSIFIED
AND SHALL INCLUDE ALL MATERIALS ENCOUNTERED.",
43,3,,,,no,,10,1,1,
44,3,,,,no,,1,ALL WORK PERFORMED AND MATERIALS SUPPLIED SHALL CONFORM TO THE AUTHORITY HAVING JURISDICTION'S STANDARD AND SPECIFICA...,"ALL WORK PERFORMED AND MATERIALS SUPPLIED SHALL
CONFORM TO THE AUTHORITY HAVING JURISDICTION'S
STANDARD AND SPECIFICATIONS. IF AHJ STANDARDS AND
SPECIFICATIONS DO NOT APPLY, ALL CONSTRUCTION SHALL BE
IN ACCORDANCE WITH THE OKLAHOMA DEPARTMENT OF",
45,3,,,,no,,2,17,17,
46,3,,,,no,,1,CONDUCT AS-BUILT MEASUREMENTS AND SUBMIT DOCUMENTATION TO THE OWNER PRIOR TO FINAL,"CONDUCT AS-BUILT MEASUREMENTS AND SUBMIT
DOCUMENTATION TO THE OWNER PRIOR TO FINAL",
47,3,,,,no,,10,1,1,
48,3,,,,no,,1,THOSE UTILITIES WHICH ARE PUBLIC SHALL BE INSTALLED BY A PROPERLY LICENSED CONTRACTOR APPROVED BY THE AUTHORITY HAVIN...,"THOSE UTILITIES WHICH ARE PUBLIC SHALL BE INSTALLED BY
A PROPERLY LICENSED CONTRACTOR APPROVED BY THE
AUTHORITY HAVING JURISDICTION. CONTRACTOR SHALL BE
RESPONSIBLE FOR OBTAINING APPROVED PLANS, WORK
ORDERS, AND PERMITS REQUIRED.",
49,3,,,,no,,10,1,1,
50,3,,,,no,,1,DETAILS SHOWN ARE DESIGNED BASED ON INFORMATION FROM THE GEOTECHNICAL REPORT COMPLETED FOR THIS SITE (SEE SITE GRADIN...,"DETAILS SHOWN ARE DESIGNED BASED ON INFORMATION
FROM THE GEOTECHNICAL REPORT COMPLETED FOR THIS
SITE (SEE SITE GRADING NOTES).",
51,3,,,,no,,1,OK CA#: 32  EXP.: 2026-06-30 WWW.CONNECTCEC.COM CEC CORPORATION,"OK CA#: 32  EXP.: 2026-06-30
WWW.CONNECTCEC.COM
CEC CORPORATION",
52,3,,,,no,,1,ACCEPTANCE.,ACCEPTANCE.,
53,3,,,,no,,8,2,2,
